step 2820000	, total energy: 1918307.96
step 2830000	, total energy: 1919655.33
step 2840000	, total energy: 1923171.94
step 2850000	, total energy: 1917341.88
step 2860000	, total energy: 1911137.22
step 2870000	, total energy: 1916453.74
step 2880000	, total energy: 1904513.38
step 2890000	, total energy: 1904063.76
step 2900000	, total energy: 1900013.15
step 2910000	, total energy: 1893389.33
step 2920000	, total energy: 1893745.36
step 2930000	, total energy: 1890766.63
step 2940000	, total energy: 1902907.93
step 2950000	, total energy: 1897712.97
step 2960000	, total energy: 1896776.68
step 2970000	, total energy: 1898205.78
step 2980000	, total energy: 1908736.57
step 2990000	, total energy: 1919347.45
step 3000000	, total energy: 1914813.48
step 3010000	, total energy: 1916382.09
step 3020000	, total energy: 1918320.20
step 3030000	, total energy: 1916551.11
step 3040000	, total energy: 1916742.58
step 3050000	, total energy: 1914281.85
step 3060000	, total energy: 1903290.76
step 3070000	, total energy: 1905133.63
step 3080000	, total energy: 1909078.22
step 3090000	, total energy: 1914080.50
step 3100000	, total energy: 1908046.18
step 3110000	, total energy: 1900163.40
step 3120000	, total energy: 1892452.50
step 3130000	, total energy: 1903492.32
step 3140000	, total energy: 1909441.74
step 3150000	, total energy: 1900712.48
step 3160000	, total energy: 1891830.93
step 3170000	, total energy: 1879001.52
step 3180000	, total energy: 1883189.43
step 3190000	, total energy: 1889625.73
step 3200000	, total energy: 1887338.95
step 3210000	, total energy: 1886883.80
step 3220000	, total energy: 1884817.15
step 3230000	, total energy: 1886485.90
step 3240000	, total energy: 1893071.39
step 3250000	, total energy: 1888968.74
step 3260000	, total energy: 1903162.72
step 3270000	, total energy: 1902398.90
step 3280000	, total energy: 1899555.21
step 3290000	, total energy: 1902744.22
step 3300000	, total energy: 1897123.51
step 3310000	, total energy: 1903181.51
step 3320000	, total energy: 1891129.35
step 3330000	, total energy: 1890399.25
step 3340000	, total energy: 1891010.80
step 3350000	, total energy: 1892870.14
step 3360000	, total energy: 1899665.33
step 3370000	, total energy: 1908861.48
step 3380000	, total energy: 1912001.22
step 3390000	, total energy: 1903822.36
step 3400000	, total energy: 1910919.55
step 3410000	, total energy: 1906147.60
step 3420000	, total energy: 1911275.08
step 3430000	, total energy: 1918676.78
step 3440000	, total energy: 1917831.44
step 3450000	, total energy: 1914090.28
step 3460000	, total energy: 1916374.20
step 3470000	, total energy: 1908637.58
step 3480000	, total energy: 1903272.45
step 3490000	, total energy: 1902143.66
step 3500000	, total energy: 1901921.02
step 3510000	, total energy: 1909270.82
step 3520000	, total energy: 1903077.39
step 3530000	, total energy: 1896334.12
step 3540000	, total energy: 1902257.14
step 3550000	, total energy: 1890720.67
step 3560000	, total energy: 1890296.30
step 3570000	, total energy: 1897322.42
step 3580000	, total energy: 1892354.80
step 3590000	, total energy: 1890447.79
step 3600000	, total energy: 1894139.99
step 3610000	, total energy: 1887961.88
step 3620000	, total energy: 1891471.39
step 3630000	, total energy: 1896185.64
step 3640000	, total energy: 1898000.50
